

           Receive Statistics
   # Bytes     # Microsec     # Millisec
         4          20227             20
         8              2              0
        16            193              0
        32              1              0
        64              1              0
       128              0              0
       256              1              0
       512              0              0
      1024              0              0
      2048              0              0
      4096              1              0
      8192             91              0
     16384            131              0
     32768            246              0
     65536            736              0
    131072           1334              1
    262144           2442              2
    524288           4686              4
   1048576           9120              9
   2097152          18042             18
   4194304          35866             35
   8388608          71527             71
  16777216         142813            142
  33554432         285373            285
  67108864         570497            570


           Receive Statistics
   # Bytes     # Microsec     # Millisec
         4             20              0
         8              0              0
        16            101              0
        32              1              0
        64              1              0
       128              1              0
       256              1              0
       512              0              0
      1024              1              0
      2048              2              0
      4096              1              0
      8192             83              0
     16384            114              0
     32768            225              0
     65536            746              0
    131072           1347              1
    262144           2440              2
    524288           4680              4
   1048576           9119              9
   2097152          18039             18
   4194304          35867             35
   8388608          71533             71
  16777216         142816            142
  33554432         285377            285
  67108864         570483            570


             Send Statistics
   # Bytes     # Microsec     # Millisec
         4          19997             19
         8              8              0
        16              4              0
        32              2              0
        64              2              0
       128              3              0
       256              3              0
       512              2              0
      1024              6              0
      2048              4              0
      4096              8              0
      8192              8              0
     16384             34              0
     32768             21              0
     65536            694              0
    131072            844              0
    262144           1493              1
    524288           4282              4
   1048576           7481              7
   2097152          13680             13
   4194304          31195             31
   8388608          63883             63
  16777216         146981            146
  33554432         283562            283
  67108864         565045            565


             Send Statistics
   # Bytes     # Microsec     # Millisec
         4              7              0
         8              2              0
        16              2              0
        32              2              0
        64              2              0
       128              2              0
       256              2              0
       512              2              0
      1024              2              0
      2048              5              0
      4096              5              0
      8192              5              0
     16384             18              0
     32768             18              0
     65536          24418             24
    131072            855              0
    262144           1492              1
    524288           2761              2
   1048576           5306              5
   2097152          10358             10
   4194304          29535             29
   8388608          68044             68
  16777216         145309            145
  33554432         280973            280
  67108864         571420            571
